person	Julius Robert Oppenheimer	has the first name	first name	Julius
person	Julius Robert Oppenheimer	has the middle name	middle name	Robert
person	Julius Robert Oppenheimer	has the last name	last name	Oppenheimer
person	Julius Robert Oppenheimer	is nicknamed	nickname	J. Robert
person	Julius Robert Oppenheimer	works for	organization	Manhattan Project
person	Julius Robert Oppenheimer	was acquainted with	war	World War II
person	Julius Robert Oppenheimer	developed	thing	atomic bomb
person	Julius Robert Oppenheimer	taught at	organization	University of California, Berkeley
person	Julius Robert Oppenheimer	taught	school subject	Physics
person	Julius Robert Oppenheimer	read	book	Bhagavad Gita
person	Julius Robert Oppenheimer	was an advisor to	organization	United States Atomic Energy Commission
person	Julius Robert Oppenheimer	organized	project	The Manhattan Project	during	war	World War II
person	Franklin D. Roosevelt	has the first name	first name	Franklin
person	Franklin D. Roosevelt	has the middle name	middle name	D.
person	Franklin D. Roosevelt	has the last name	last name	Roosevelt
date	10/9/1941	was relevant to	person	Franklin D. Roosevelt
person	Franklin D. Roosevelt	was the	job title	President of the United States
person	Franklin D. Roosevelt	ordered	thing	atomic bomb	on the date	date	10/9/1941
organization	United States Army	created	organization	Manhattan Engineer District
person	Yoshio Nishina	has the first name	first name	Yoshio
person	Yoshio Nishina	has the last name	last name	Nishina
person	Yoshio Nishina	works for	organization	RIKEN	as	job title	Head of Japan Atomic Weapons Program
person	Yoshio Nishina	was born			on the date	date	12/6/1890
person	Yoshio Nishina	died			on the date	date	1/10/1951
person	Yoshio Nishina	was the director of	organization	Japanese Atomic Weapons Program
person	Yoshio Nishina	was the	job title	Principle Investigator	at	organization	RIKEN
person	Yoshio Nishina	graduated from	organization	Tokyo Imperial University	in the year	year	1918
person	Yoshio Nishina	was born			in	city	Satosho, Okayama
person	Yoshio Nishina	worked for	organization	Institute of Physical and Chemical Research (Now Riken)
person	Yoshio Nishina	went to	country	Europe	in the year	year	1921
person	Yoshio Nishina	studied	school subject	Physics	in	country	Europe
person	Yoshio Nishina	visited	organization	Cavendish Laboratory
person	Yoshio Nishina	visited	organization	Georg August University of Gottingen
person	Yoshio Nishina	visited	organization	University of Copenhagen
person	Yoshio Nishina	discovered	thing	Uranium 237
person	Yoshio Nishina	was an expert in	school subject	Symmetric Fission
person	Yoshio Nishina	died			of	health problem	Liver Cancer
person	Niels Henrik David Bohr	has the first name	first name	Niels
